name,address
SPRINGFIELD ACRES,"1665 SEVEN PINES RD, SPRINGFIELD, IL 62704"
SUNLEY FUND III,"1604 S 16TH ST, SPRINGFIELD, IL 62703"
SUNLEY FUND IV,"1700 S EIGHTH ST, SPRINGFIELD, IL 62703"
GURNEE MEADOWS,"1400 PAULY DR, GURNEE, IL 60031"
GURNEE MEADOWS II,"1380 PAULY DR, GURNEE, IL 60031"
HILLSBORO HEIGHTS,"111 N OAK ST, HILLSBORO, IL 62049"
KOLIN COURTS APTS,"4321 W ROOSEVELT RD, CHICAGO, IL 60624"
MAISON ROSE SENIOR CITIZEN APTS LP,"203 S VAN BUREN ST, LITCHFIELD, IL 62056"
MARCLARE ESTATES,"624 MARCLARE ST, DIXON, IL 61021"
MELD MANOR,"414 N CT ST, ROCKFORD, IL 61103"
MILLER HARDIN APTS II,"203 EARLEY ST, HARDIN, IL 62047"
OKAWVILLE HEIGHTS APTS,"300 N MILL ST, OKAWVILLE, IL 62271"
PAIGE COURT,"420 LISTON AVE, SOUTH BELOIT, IL 61080"
PALERMO MANOR,"2403 24TH ST, NORTH CHICAGO, IL 60064"
PATOKA SENIOR APTS,"109 N OAK ST, PATOKA, IL 62875"
PINE MEADOWS APTS,"1850 ASBURY DR, JOLIET, IL "
PINE RIDGE APTS,"1120 ILLINOIS AVE, JACKSONVILLE, IL 62650"
PLAZA COMMONS,"715 W ELM ST, HOOPESTON, IL 60942"
RENAISSANCE WEST,"2513 W FULLERTON AVE, CHICAGO, IL 60647"
RIVER VALLEY APTS,"705 S PRAIRIE ST, LACON, IL 61540"
ROMEOVILLE GARDENS,"700 LILY LN, ROMEOVILLE, IL 60446"
MASON CITY MANOR APTS,"405 E JEFFERSON ST, MASON CITY, IL 62664"
MCCARRON #2,"120 COUNTRY RDG, COLUMBIA, IL 62236"
MEADOW LANE SENIOR APTS,"600 W JEFFERSON ST, WARREN, IL 61087"
MICHIGAN MANOR,"5751 S MICHIGAN AVE, CHICAGO, IL 60637"
MILLEDGEVILLE PROPERTIES,"700 STOVER AVE, MILLEDGEVILLE, IL 61051"
MILLER JERSEYVILLE APTS,"400 MILLER DR, JERSEYVILLE, IL 62052"
NEW LIFE ASSOC,"4300 W W END AVE, CHICAGO, IL 60624"
NORTHLAND MT MORRIS APTS,"415 S OGLE AVE, MT MORRIS, IL 61054"
PAW PAW MANOR,"241 MAPLE ST, PAW PAW, IL 61353"
PINE-LOTUS DEVELOPMENT,"224 N PINE AVE, CHICAGO, IL 60644"
PRAIRIE VIEW APTS I (BELLWOOD),"3324 GEORGINA LN, BELLWOOD, IL 60104"
RED BUD APTS,"225 LOCKWOOD DR, RED BUD, IL 62278"
RIDGE MANOR APTS,"5662 N RIDGE AVE, CHICAGO, IL 60660"
SANGAMON COURT,"7000 S SANGAMON ST, CHICAGO, IL 60621"
SCHOOLHOUSE APTS,"200 N MELVIN ST, GIBSON CITY, IL 60936"
SENIOR PLAZA APTS II,"200 SUPPIGER LN, HIGHLAND, IL 62249"
SHOREWOOD,"1962 E 73RD PL, CHICAGO, IL 60649"
SOUTH KING DRIVE APTS,"4240 S KING DR, CHICAGO, IL 60653"
SUNLEY FUND V,"1115 S 13TH ST, SPRINGFIELD, IL 62703"
TABLE GROVE APTS,"204 N JOHN ST, TABLE GROVE, IL 61482"
UNION BAPTIST PLAZA,"1400 E ADAMS ST, SPRINGFIELD, IL 62703"
VICTORIA HEIGHTS GALENA,"840 ELK ST, GALENA, IL 61036"
VILLAGE APTS OF CHILLICOTHE,"1208 N SECOND ST, CHILLICOTHE, IL 61523"
VILLAGE APTS OF EFFINGHAM I,"103 E HENDELMEYER AVE, EFFINGHAM, IL 62401"
VK APTS,"6211 S VERNON AVE, CHICAGO, IL 60637"
WIMBLEDON DRIVE APTS,"522 WIMBLETON DR, PROSPECT HEIGHTS, IL 60070"
45TH & VINCENNES APTS LP,"4520 S VINCENNES AVE, CHICAGO, IL 60653"
60TH & MICHIGAN REDEVELOPMENT,"6001 S MICHIGAN AVE, CHICAGO, IL 60637"
6109-15 S INDIANA APT,"6109 S INDIANA AVE, CHICAGO, IL 60637"
901 N SEVENTH ST DUPLEX,"901 N SEVENTH ST, SPRINGFIELD, IL 62702"
903 N SEVENTH STDUPLEX,"903 N SEVENTH ST, SPRINGFIELD, IL 62702"
915 N SEVETH ST HOUSE,"915 N SEVENTH ST, SPRINGFIELD, IL 62702"
ADAMS LOCKWOOD APTS,"5300 W ADAMS ST, CHICAGO, IL 60644"
ASHLANDS PHASES I & II,"7724 N ASHLAND AVE, CHICAGO, IL 60626"
ATLANTA MANOR APTS,"499 N HOWARD, ATLANTA, IL "
AUSTIN MUTUAL,"5040 W QUINCY ST, CHICAGO, IL 60644"
"BAYBERRY ""B"" APTS","1404 N BAYBERRY CT, CHILLICOTHE, IL 61523"
BEECHER MANOR APT,"275 S WOODWARD ST, BEECHER, IL 60401"
BRUCKNER'S FIRST APTS,"105 1/2 W FIRST ST, DIXON, IL 61021"
CAMBRIDGE APTS - CAMBRIDGE,"650 N E ST, CAMBRIDGE, IL 61238"
CAMBRIDGE MANOR,"500 N E ST, CAMBRIDGE, IL 61238"
CENTRAL PINE,"315 S CENTRAL AVE, CHICAGO, IL 60644"
CHURCHVIEW MANOR,"6250 S TALMAN AVE, CHICAGO, IL 60629"
CLOVER,"3714 S INDIANA AVE, CHICAGO, IL 60653"
CLOVER,"3718 S INDIANA AVE, CHICAGO, IL 60653"
COUNTRY PLACE APTS (COAL CITY),"1200 COUNTRY PL CT, COAL CITY, IL 60416"
COURTS OF CICERO,"2513 S 57TH CT, CICERO, IL 60804"
DESERT ROSE SENIOR CITIZENS APTS,"215 S VAN BUREN ST, LITCHFIELD, IL 62056"
DIVERSEY MANOR,"3213 W DIVERSEY AVE, CHICAGO, IL 60647"
ENGLEWOOD TERRACE APTS,"6425 S LOWE AVE, CHICAGO, IL 60621"
ESTES COURT,"1361 W ESTES AVE, CHICAGO, IL 60626"
FRIENDLY TOWERS,"4707 N MALDEN ST, CHICAGO, IL 60640"
GREGORY SCHOOL APTS,"202 W COLUMBIA AVE, CHAMPAIGN, IL 61820"
HEIGHTS GROUP HOME,"40 HEIGHTS CIR, TAYLORVILLE, IL 62568"
JACKSON TERRACE,"4900 W JACKSON BLVD, CHICAGO, IL 60644"
KIMBALL APTS,"3400 W CORTLAND ST, CHICAGO, IL 60647"
LAKE PARK,"4631 S LAKE PARK AVE, CHICAGO, IL "
LANDVIEW APTS,"408 W MARTIN ST, LA MOILLE, IL 61330"
LAURELWOOD APTS,"401 HANABARGER ST, LANARK, IL 61046"
LEBANON APTS I,"410 SUMMERFIELD ST, LEBANON, IL 62254"
MILLER-HARDIN APTS,"201 EARLEY ST, HARDIN, IL 62047"
NORTH AURORA SENIOR HOUSING PR,"117 MONROE ST, NORTH AURORA, IL 60542"
OHIO HOUSING,"204 W RAILROAD ST, LA MOILLE, IL 61330"
ORCHARD GROVE,"204 W RAILROAD ST, OHIO, IL 61349"
RUPERT APT OF WITT,"40 E BROADWAY, WITT, IL "
SHANNON MANOR,"10 N STANTON ST, SHANNON, IL 61078"
6217-27 S DORCHESTER APTS,"6217 S DORCHESTER AVE, CHICAGO, IL 60637"
62ND ST DEVELOPMENT,"6153 S EBERHART AVE, CHICAGO, IL 60637"
